who,what,notes
davea,25M extension reel,4 gang
davea,50M CAT6,
davea,5 port GigE switch,
davea,Raspberry Pi + [Unicorn HAT](https://shop.pimoroni.com/collections/raspberry-pi/products/unicorn-hat),All the sparkles
davea,Raspberry Pi + touchscreen,
davea,ESP8266 controlled fairy lights,
davea,Speakers,not loud but serviceable
